site_id,facility_name,cupa,physical_address,total_evals,total_violations,latest_eval,years_since,seismic,has_ammonia,is_food,is_refinery,is_p3,is_p2,iiar9_gap,revalid_overdue,revalid_soon,reval_due_year,pre_epa2024,urgency_score,notes,recommended_pitch,pain_points
402065,"Shepard Bros., Inc.",Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2015-07-17,10.6,High,False,False,False,False,False,False,True,False,2020,False,7,[],RMP 5-Year Revalidation,RMP Revalidation OVERDUE: Last eval 2015-07-17 (10.6 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
402201,SIGNAL HILL PETROLEUM INC (SHWU),Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,7,3,2023-01-04,3.2,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
402463,Energy Solutions (US) LLC,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,2,2025-06-02,0.8,High,False,False,False,False,False,True,False,False,2030,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
402469,SONIC PLATING CO,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,1,2022-11-04,3.3,High,False,False,False,False,False,True,False,False,2027,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
402631,AJINOMOTO FOODS NORTH AMERICA INC,San Diego County Department of Env Health,VERIFY via CERS SiteID or EPA ECHO,5,4,2024-02-06,2.1,Medium,False,False,False,False,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
402671,SPECTRUM LABORATORY PRODUCTS,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,3,2023-08-21,2.5,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
402783,ST&I Inc,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2023-06-15,2.7,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
402910,STERIS AST,San Diego County Department of Env Health,VERIFY via CERS SiteID or EPA ECHO,6,4,2025-02-18,1.0,Medium,False,False,False,False,False,True,False,False,2030,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
403132,SUN PACIFIC - COLD STORAGE,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,15,5,2024-11-25,1.3,Medium,True,False,False,False,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 5 violations on record
403197,POM Buttonwillow,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,7,3,2025-02-20,1.0,Medium,True,True,False,True,True,True,False,False,2030,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | Program 3 confirmed: STAA + enhanced third-party audits mandatory
403207,SUNRIDGE NURSERIES INC,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,12,5,2023-02-03,3.1,Medium,False,False,False,False,False,True,False,False,2028,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 5 violations on record
403211,SUNRISE POWER COMPANY,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,9,4,2024-04-15,1.9,Medium,True,False,False,False,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
403385,"SYSCO Ventura, Inc",Oxnard City CUPA,VERIFY via CERS SiteID or EPA ECHO,8,4,2025-01-21,1.1,Low,False,False,False,False,False,True,False,False,2030,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
403464,TAFT MANUFACTURING LLC,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,33,7,2024-11-14,1.3,Medium,False,False,False,False,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 7 violations on record
